id,name,brand,category,price,description,features,movement,material,image
g1,Aere Aviator,Cartier,glasses,420000,"A symphony of luxury and design. The Cartier signature gold-tone titanium aviator sunglasses feature premium anti-reflective lenses, delivering a uniquely prestigious aesthetic. Secure yours with Free Insured Shipping across Pakistan and a 2-Year International Warranty.","[""Pure Titanium Frame"",""Anti-reflective Lenses"",""Gold Finish"",""100% UV Protection""]",,Gold-Plated Titanium,https://images.unsplash.com/photo-1511499767150-a48a237f0083?auto=format&fit=crop&q=80&w=800
g2,Tom Ford FT5753,Tom Ford,glasses,145000,Sartorial elegance meets optical perfection. Classic soft square frames characterized by the iconic Tom Ford metal 'T' logo decoration. A statement of impeccable style. Delivered via Free Insured Shipping across Pakistan alongside a 2-Year International Warranty.,"[""Acetate Frame"",""Blue Light Block Lenses"",""Iconic T Logo"",""Italian Craftsmanship""]",,Acetate,https://images.unsplash.com/photo-1572635196237-14b3f281503f?auto=format&fit=crop&q=80&w=800
g3,Oliver Peoples Gregory Peck,Oliver Peoples,glasses,165000,"Handcrafted Hollywood glamour. Created in collaboration with the Peck Estate, this iconic vintage-inspired design captures the essence of classic intellectual refinement. Enhance your vision with Free Insured Shipping across Pakistan and a reliable 2-Year International Warranty.","[""Vintage Design"",""Keyhole Bridge"",""Handcrafted Acetate"",""Anti-reflective Coating""]",,Handcrafted Acetate,https://images.unsplash.com/photo-1574258495973-f010dfbb5371?auto=format&fit=crop&q=80&w=800
g4,Dita Grandmaster-Six,DITA,glasses,320000,"Bold, unapologetic luxury. The Grandmaster-Six is a commanding oversized aviator featuring DITA's signature titanium hardware. Crafted for high society. Shop with complete confidence with our Free Insured Shipping across Pakistan and a 2-Year International Warranty.","[""Oversized Aviator"",""Titanium Accents"",""Japanese Acetate"",""100% UVA and UVB Lens""]",,Acetate & Titanium,/images/dita_glasses.png
g5,Gucci GG0036S,Gucci,glasses,185000,Embrace maximalist Italian flair. These luxurious oversized square sunglasses in heavy black acetate feature the iconic interlocking G detail for undeniable prestige. Enjoy our complimentary Free Insured Shipping across Pakistan and a 2-Year International Warranty.,"[""Oversized Square"",""Interlocking G Decor"",""Tinted Lenses"",""Made in Italy""]",,Premium Acetate,https://images.unsplash.com/photo-1511499767150-a48a237f0083?auto=format&fit=crop&q=80&w=800
g6,Maybach The Artist II,Maybach,glasses,750000,"The ultimate expression of bespoke extravagance. Opulent eyewear individually handcrafted from natural horn and gold-plated titanium, epitomizing the zenith of luxury. Delivered to you via Free Insured Shipping across Pakistan, inclusive of a 2-Year International Warranty.","[""Natural Buffalo Horn"",""24k Gold-Plated"",""Carl Zeiss Lenses"",""Handcrafted in Germany""]",,Horn & Gold-Plated Titanium,https://images.unsplash.com/photo-1473496169904-658ba7c44d8a?auto=format&fit=crop&q=80&w=800
g7,Matsuda M3023,Matsuda,glasses,260000,"Masterful Japanese artistry. The Matsuda M3023 represents an architectural triumph, featuring signature intricate engraving along the temples. Worn by global visionaries. Secure yours with Free Insured Shipping across Pakistan and a 2-Year International Warranty.","[""Modified Aviator"",""Signature Engraving"",""Japanese Titanium"",""Anti-reflective Lenses""]",,Japanese Titanium,/images/matsuda_glasses.png
g8,Persol 714 Steve McQueen,Persol,glasses,155000,"Iconic, rebellious, timeless. The legendary folding sunglasses famously worn by Steve McQueen, featuring the patented Meflecto system. A legendary frame for a legendary individual. Comes with Free Insured Shipping across Pakistan and a 2-Year International Warranty.","[""Folding Frame"",""Meflecto System"",""Crystal Polarized Lenses"",""Handmade in Italy""]",,Acetate,https://images.unsplash.com/photo-1510127034890-ba27508e9f1c?auto=format&fit=crop&q=80&w=800
g9,Aviator Classic,Ray-Ban,glasses,65000,"The timeless icon of flight, reimagined for elite sophistication. The Ray-Ban Aviator Classic delivers exceptional G-15 tint clarity and a sleek gold frame that transcends generations. Benefit from Free Insured Shipping across Pakistan and a 2-Year International Warranty.","[""Teardrop Lenses"",""G-15 Solid Colors"",""Gold Metal Frame"",""100% UV Protection""]",,Metal,/images/dita_glasses.png
g10,Chrome Hearts Sluntradiction,Chrome Hearts,glasses,540000,Rebel luxury elevated to high art. This exquisite frame seamlessly blends dense Japanese acetate with solid .925 sterling silver hardware featuring intricate gothic cross motifs. Procured with absolute exclusivity: Free Insured Shipping across Pakistan and a 2-Year International Warranty.,"["".925 Sterling Silver Accents"",""Gothic Motifs"",""Japanese Craftsmanship"",""Carl Zeiss Optics""]",,Acetate & Sterling Silver,https://images.unsplash.com/photo-1574258495973-f010dfbb5371?auto=format&fit=crop&q=80&w=800
